Match 76; Goals pro: 0; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6679166666666667; Defensive field percentage: 0.33208333333333334
Match 77; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.26958333333333334; Defensive field percentage: 0.7304166666666667
Match 78; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.1475; Defensive field percentage: 0.8525
Match 79; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.7220833333333333; Defensive field percentage: 0.27791666666666665
Match 80; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.25666666666666665; Defensive field percentage: 0.7433333333333333
Match 81; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6191666666666666; Defensive field percentage: 0.38083333333333336
Match 82; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6216666666666667; Defensive field percentage: 0.37833333333333335
Match 83; Goals pro: 1; Goals against: 6; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5766666666666667; Defensive field percentage: 0.42333333333333334
Match 84; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.48625; Defensive field percentage: 0.51375
Match 85; Goals pro: 1; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.35; Defensive field percentage: 0.65
Match 86; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2475; Defensive field percentage: 0.7525
Match 87; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6533333333333333; Defensive field percentage: 0.3466666666666667
Match 88; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.52375; Defensive field percentage: 0.47625
Match 89; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.19583333333333333; Defensive field percentage: 0.8041666666666667
Match 90; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9441666666666667; Defensive field percentage: 0.05583333333333333
Match 91; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.37333333333333335; Defensive field percentage: 0.6266666666666667
Match 92; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.2725; Defensive field percentage: 0.7275
Match 93; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2970833333333333; Defensive field percentage: 0.7029166666666666
Match 94; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4175; Defensive field percentage: 0.5825
Match 95; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5195833333333333; Defensive field percentage: 0.48041666666666666
Match 96; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.40208333333333335; Defensive field percentage: 0.5979166666666667
Match 97; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.36125; Defensive field percentage: 0.63875
Match 98; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.30875; Defensive field percentage: 0.69125
Match 99; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.36291666666666667; Defensive field percentage: 0.6370833333333333
Match 100; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.12; Defensive field percentage: 0.88
Number of wins: 14; Number of draws: 33; Number of losses: 53; Total number of goals pro: 29; Total number of goals against: 127; Total number of offensive free balls: 33; Total number of defensive free balls: 44; Mean defensive field percentage: 0.5730374999999998; Mean offensive field percentage: 0.4269625000000001
