Match 86; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.43416666666666665; Defensive field percentage: 0.5658333333333333
Match 87; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.855; Defensive field percentage: 0.145
Match 88; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.49833333333333335; Defensive field percentage: 0.5016666666666667
Match 89; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5408333333333334; Defensive field percentage: 0.45916666666666667
Match 90; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.745; Defensive field percentage: 0.255
Match 91; Goals pro: 0; Goals against: 1; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.575; Defensive field percentage: 0.425
Match 92; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.49541666666666667; Defensive field percentage: 0.5045833333333334
Match 93; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6608333333333334; Defensive field percentage: 0.33916666666666667
Match 94; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9308333333333333; Defensive field percentage: 0.06916666666666667
Match 95; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9466666666666667; Defensive field percentage: 0.05333333333333334
Match 96; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6479166666666667; Defensive field percentage: 0.35208333333333336
Match 97; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.42916666666666664; Defensive field percentage: 0.5708333333333333
Match 98; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.665; Defensive field percentage: 0.335
Match 99; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.8516666666666667; Defensive field percentage: 0.14833333333333334
Match 100; Goals pro: 2; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6516666666666666; Defensive field percentage: 0.34833333333333333
Number of wins: 15; Number of draws: 29; Number of losses: 56; Total number of goals pro: 46; Total number of goals against: 117; Total number of offensive free balls: 37; Total number of defensive free balls: 14; Mean defensive field percentage: 0.4045916666666666; Mean offensive field percentage: 0.5954083333333333
