Match 89; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7; Defensive field percentage: 0.3
Match 90; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.92; Defensive field percentage: 0.08
Match 91; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5558333333333333; Defensive field percentage: 0.44416666666666665
Match 92; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6154166666666666; Defensive field percentage: 0.38458333333333333
Match 93; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6833333333333333; Defensive field percentage: 0.31666666666666665
Match 94; Goals pro: 0; Goals against: 1; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.67; Defensive field percentage: 0.33
Match 95; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5870833333333333; Defensive field percentage: 0.41291666666666665
Match 96; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.08291666666666667; Defensive field percentage: 0.9170833333333334
Match 97; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5683333333333334; Defensive field percentage: 0.43166666666666664
Match 98; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.805; Defensive field percentage: 0.195
Match 99; Goals pro: 2; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.615; Defensive field percentage: 0.385
Match 100; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.19166666666666668; Defensive field percentage: 0.8083333333333333
Number of wins: 24; Number of draws: 40; Number of losses: 36; Total number of goals pro: 82; Total number of goals against: 96; Total number of offensive free balls: 38; Total number of defensive free balls: 45; Mean defensive field percentage: 0.5294916666666665; Mean offensive field percentage: 0.4705083333333334
