Match 78; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.12125; Defensive field percentage: 0.87875
Match 79; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.24708333333333332; Defensive field percentage: 0.7529166666666667
Match 80; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7658333333333334; Defensive field percentage: 0.23416666666666666
Match 81; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.23666666666666666; Defensive field percentage: 0.7633333333333333
Match 82; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.2916666666666667; Defensive field percentage: 0.7083333333333334
Match 83; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.34125; Defensive field percentage: 0.65875
Match 84; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.21166666666666667; Defensive field percentage: 0.7883333333333333
Match 85; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.30416666666666664; Defensive field percentage: 0.6958333333333333
Match 86; Goals pro: 1; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5475; Defensive field percentage: 0.4525
Match 87; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6979166666666666; Defensive field percentage: 0.3020833333333333
Match 88; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.34125; Defensive field percentage: 0.65875
Match 89; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.51625; Defensive field percentage: 0.48375
Match 90; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7441666666666666; Defensive field percentage: 0.25583333333333336
Match 91; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.41791666666666666; Defensive field percentage: 0.5820833333333333
Match 92; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.37416666666666665; Defensive field percentage: 0.6258333333333334
Match 93; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.66625; Defensive field percentage: 0.33375
Match 94; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.18166666666666667; Defensive field percentage: 0.8183333333333334
Match 95; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.325; Defensive field percentage: 0.675
Match 96; Goals pro: 2; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7620833333333333; Defensive field percentage: 0.23791666666666667
Match 97; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8866666666666667; Defensive field percentage: 0.11333333333333333
Match 98; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.28125; Defensive field percentage: 0.71875
Match 99; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23208333333333334; Defensive field percentage: 0.7679166666666667
Match 100; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.10875; Defensive field percentage: 0.89125
Number of wins: 33; Number of draws: 39; Number of losses: 28; Total number of goals pro: 65; Total number of goals against: 57; Total number of offensive free balls: 40; Total number of defensive free balls: 58; Mean defensive field percentage: 0.5803208333333334; Mean offensive field percentage: 0.41967916666666666
